epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2284.34,0.54023,0.70253,1.13418,0,0,0,0,1.15715,7.3356,1.84131,0.0003532,0.0003532,0.0003532
51,2327.69,0.53468,0.67785,1.13634,0,0,0,0,1.08353,7.35324,1.77574,0.00034,0.00034,0.00034
52,2372.38,0.5417,0.69156,1.13676,0,0,0,0,1.09618,7.53572,1.735,0.0003268,0.0003268,0.0003268
53,2416.19,0.54272,0.67498,1.1412,0,0,0,0,1.23259,7.36726,1.9219,0.0003136,0.0003136,0.0003136
54,2460.48,0.52278,0.64862,1.12448,0,0,0,0,1.09951,7.56651,1.85909,0.0003004,0.0003004,0.0003004
55,2503.86,0.52538,0.64653,1.12821,0,0,0,0,1.10127,7.71446,1.77834,0.0002872,0.0002872,0.0002872
56,2547.53,0.53235,0.63332,1.12776,0,0,0,0,1.20473,7.68756,1.93031,0.000274,0.000274,0.000274
57,2592.14,0.51815,0.63866,1.11248,0,0,0,0,1.05914,7.8433,1.87727,0.0002608,0.0002608,0.0002608
58,2636.67,0.50735,0.62432,1.11068,0,0,0,0,1.27935,7.66529,1.94768,0.0002476,0.0002476,0.0002476
59,2679.87,0.50456,0.62074,1.10625,0,0,0,0,1.17946,7.60026,1.85145,0.0002344,0.0002344,0.0002344
60,2723.44,0.48937,0.61566,1.10514,0,0,0,0,1.26204,7.47176,1.9607,0.0002212,0.0002212,0.0002212
61,2767.13,0.49247,0.59892,1.09728,0,0,0,0,1.27467,7.65613,1.96132,0.000208,0.000208,0.000208
62,2811.11,0.49497,0.61486,1.10226,0,0,0,0,1.13875,7.65723,1.78317,0.0001948,0.0001948,0.0001948
63,2854.25,0.48737,0.59556,1.10314,0,0,0,0,1.26724,7.49176,1.92227,0.0001816,0.0001816,0.0001816
64,2897.99,0.47736,0.57592,1.09595,0,0,0,0,1.05018,7.49523,1.78035,0.0001684,0.0001684,0.0001684
65,2941.85,0.48561,0.5771,1.09152,0,0,0,0,1.27265,7.66227,1.93082,0.0001552,0.0001552,0.0001552
66,2984.79,0.40352,0.5255,1.06802,0,0,0,0,1.14525,7.42644,1.78616,0.000142,0.000142,0.000142
67,3026.84,0.39011,0.45761,1.07249,0,0,0,0,1.12072,7.72138,1.76864,0.0001288,0.0001288,0.0001288
68,3069.63,0.36377,0.43201,1.03636,0,0,0,0,1.03471,7.62764,1.67889,0.0001156,0.0001156,0.0001156
69,3113.87,0.36146,0.40264,1.03527,0,0,0,0,1.11816,7.75279,1.77187,0.0001024,0.0001024,0.0001024
70,3157.39,0.36722,0.40836,1.04097,0,0,0,0,1.08788,7.59607,1.70065,8.92e-05,8.92e-05,8.92e-05
71,3200.25,0.34628,0.39296,1.01942,0,0,0,0,1.08251,7.65106,1.71405,7.6e-05,7.6e-05,7.6e-05
72,3243,0.34105,0.37242,1.01353,0,0,0,0,1.08886,7.73361,1.66805,6.28e-05,6.28e-05,6.28e-05
73,3285.92,0.33761,0.38581,1.01641,0,0,0,0,1.12702,7.66352,1.71352,4.96e-05,4.96e-05,4.96e-05
74,3328.84,0.33213,0.35941,1.01463,0,0,0,0,1.16334,7.71915,1.70636,3.64e-05,3.64e-05,3.64e-05
75,3371.26,0.3241,0.35019,1.00453,0,0,0,0,1.1571,7.74641,1.70126,2.32e-05,2.32e-05,2.32e-05
